rank,entrant_id,name,elo,sets_played
1,1216463,LRA | Syrup,2128.1,187
2,1972274,Raccoon | Cody,2086.3,397
3,1005189,Quidd,2045.4,276
4,370802,CTG | Zomba,1991.3,288
5,3662307,Moist | Light,1984.9,57
6,2831089,Bubbs,1976.6,1006
7,158026,FaZe | Sparg0,1975.8,84
8,231113,Jakal,1967.3,143
9,46517,Tony Pajamas,1960.4,129
10,2220603,FORTUNE | DWTW | Fhantum,1952.9,201
11,70538,ABT3 | Wrath,1942.1,112
12,2519248,Team Vars | Free KayFlock,1931.9,1599
13,2419314,Aries,1931.9,120
14,919736,ZeroTwoNone,1924.3,157
15,1769202,VL | Aquaze,1919.1,167
16,1888506,CX | Bruho,1918.7,117
17,414731,EMPIRE | PkChris,1913.1,289
18,15768,TSM | Tweek,1911.0,96
19,2053872,Just Blue,1911.0,126
20,1050386,ENC | Cee,1897.1,316
21,58121,Ling,1889.7,299
22,181830,WPC | Vivi,1883.9,127
23,241491,MOB | Myles,1882.6,1048
24,160103,Gen,1882.4,418
25,158871,ShopifyRebels | Light,1881.1,122
26,1071129,Pharaoh,1878.5,113
27,1212255,Interrobang,1877.7,124
28,415862,ENC | MOB | reed,1866.3,1348
29,136534,JM1-3 / Beast,1865.1,210
30,1187180,smub,1861.8,89
31,159520,WOD | Ricky,1858.2,91
32,2520770,CHP | Smurfposter,1856.4,183
33,1802371,TheBluntOgre,1855.5,106
34,1870392,FAST | Bubunski,1855.3,70
35,3097780,Loq | Seel,1853.1,262
36,942751,Antimony Fan | Grape Investor,1850.9,95
37,583155,MOB | Bobo,1850.5,1276
38,1760115,RW | Synnister,1847.1,104
39,3650755,Myth,1846.8,81
40,182912,Steelix,1841.0,182
41,1189720,TR | MBeniS | Marvale,1839.1,132
42,61591,DA EMP | Sinji,1835.2,117
43,606386,Dany,1831.8,89
44,1290320,7DaysFREE | AmericanWeeaboo,1828.1,129
45,132408,BLZE | 6:00am,1827.4,109
46,233318,PAG AoC | Gaius,1826.6,136
47,228477,LRA_START,1823.6,199
48,1334378,9th | Finn,1822.3,95
49,544114,Derpager,1821.5,104
50,1852344,LRA | Karflo,1821.4,156
51,54725,naitosharp,1820.6,83
52,1243241,NS | Amai7,1818.1,79
53,1810011,Yikes! ebs Kqt | FD,1817.9,81
54,1375808,SHED | Epoodle,1817.5,142
55,467656,WPC | 幼鹿 (fawn),1816.2,133
56,1784114,SOUP-E | GRIT,1812.9,322
57,1797847,LRA | Mr_Thugz,1808.7,158
58,436376,Epic_Gabriel,1807.8,88
59,662541,Deltaforce,1806.0,99
60,1467525,FREE AGENT | ZiggySmols,1803.2,277
61,496339,Meli,1802.4,126
62,540839,MBS | Justinbyleth,1795.3,114
63,171589,Akbros | SassyFlygon,1793.2,34
64,29992,Sho,1791.8,80
65,1362071,Kqt/Yikes! | RandumMNK,1790.3,66
66,550127,WFP | CRB,1790.0,87
67,6301,Team Vars | Rivers,1789.2,76
68,2186935,Team Insano | Wrap!,1788.6,79
69,1714016,swag ! 8 | Christian,1785.7,77
70,220089,BlitzLuigy,1785.5,103
71,1692066,Jailbird | Yufine,1783.8,147
72,2105718,H-Meister,1782.3,395
73,67666,DM / Just Blue,1781.6,81
74,1330121,Swigzy,1780.5,198
75,568434,Sobriquet Sola,1780.5,77
76,2048041,Green Guy,1779.1,131
77,56497,Alo!,1778.8,107
78,2385861,SCB/Ug_nyc | FGCGambit,1778.5,172
79,2058734,LCU | TW | 10K | Kay Yun,1777.8,80
80,252377,Slasher,1776.8,117
81,2564154,Louis Dio,1775.4,110
82,18802,SR | Kola,1775.1,89
83,1064188,Yeast,1774.6,307
84,1156328,DU | Moony,1773.5,75
85,605782,parkerx1,1772.4,105
86,261992,Amaryllis,1771.5,207
87,1198128,PHNM | WU | Anarchy,1771.3,83
88,981752,Tano,1771.0,201
89,222927,LG | MkLeo,1770.9,15
90,266003,Smush | Burst,1769.3,133
91,1931564,RW | MBS | Petayaa,1768.7,81
92,2842804,Redsaw,1768.7,512
93,147246,LeoN,1768.6,71
94,616232,FzP | BeatyBean,1768.5,598
95,1331707,layla,1768.4,122
96,946548,DTN | 4o4 | Jahzz0,1766.1,106
97,1087860,DTP,1765.2,114
98,143562,Sin | ZeldaPlayer,1765.0,170
99,731942,BLZE | deliboid,1762.3,84
100,39206,LG | Marss,1762.0,72
101,1581758,elijmin,1760.9,22
102,1224156,MMG+ | GRNT | Slade,1760.8,268
103,33967,NS | CaKe,1759.1,77
104,680006,FC | Wheezer,1758.4,602
105,464995,Elam,1756.2,109
106,1154793,DGS | KSU | spickles,1755.8,85
107,1463554,FzP | TW | MBS | SmashBros!,1755.0,230
108,1005216,GRNT | Serta,1754.8,212
109,1138799,9superpie,1754.6,100
110,1608902,MikemasterX10,1752.7,124
111,2384793,SBU | Steve,1751.4,79
112,327906,GUMP2 | Key,1751.3,90
113,56473,SmU5h | Burst,1750.4,77
