rank,entrant_id,name,elo,sets_played
1,1216463,LRA | Syrup,2271.8,179
2,370802,CTG | Zomba (B),2207.2,238
3,58121,Ling,2176.4,267
4,2831089,Bubbs,2154.8,985
5,1005189,SBU | Quidd,2131.8,266
6,1972274,Raccoon | Cody,2128.6,410
7,231113,Jakal,2121.7,125
8,15768,TSM | Tweek,2111.7,84
9,171589,Akbros | SassyFlygon,2099.5,137
10,46517,Tony Pajamas,2055.5,158
11,1888506,Bruho,2054.6,51
12,2220603,FORTUNE | DWTW | Fhantum,2037.6,211
13,4650650,Meeprage,2023.2,133
14,158871,ShopifyRebels | Light,2020.1,67
15,1760115,RW | Synnister,2016.2,125
16,1769202,VL | Aquaze,2013.5,153
17,156255,Phantom,2011.8,54
18,2053872,Just Blue,2002.5,51
19,2519248,Team Vars | Free KayFlock,1998.3,1594
20,2419314,Aries,1997.1,164
21,414731,EMPIRE | PkChris,1995.2,305
22,1423851,Balls | CAT,1985.2,94
23,271875,716 | mfy.gg | Fresh,1983.7,104
24,1050386,ENC | Cee,1974.9,296
25,1212255,Interrobang,1959.4,139
26,3662307,Moist | Light,1959.0,34
27,233318,PAG AoC | Gaius,1956.0,136
28,680006,FC | Wheezer,1955.3,595
29,15889,FC | Mr. E,1953.2,359
30,1071129,Pharaoh,1948.7,89
31,415862,ENC | MOB | reed,1948.5,1358
32,241491,MOB | Myles,1946.3,1045
33,2381488,Obey Your Master,1945.5,79
34,1256099,716 | Kabayeezy,1943.2,73
35,1290320,7DaysFREE | AmericanWeeaboo,1940.5,158
36,181830,WPC | Vivi,1938.1,143
37,147246,LeoN,1937.5,50
38,2520770,CHP | Smurfposter,1936.0,150
39,919736,ZeroTwoNone,1932.7,158
40,1797847,LRA | Mr_Thugz,1929.8,142
41,1802371,TheBluntOgre,1927.3,114
42,182912,Steelix,1926.2,149
43,1774523,NEPA / VLNY | lastMinute,1925.4,69
44,3097780,Loq | Seel,1924.0,263
45,1064188,Yeast,1923.1,277
46,404287,NS | Bloom | Phaethon,1922.3,57
47,1784114,SOUP-E | GRIT,1922.2,316
48,132408,BLZE | 6:00am,1917.2,108
49,220089,BlitzLuigy,1913.0,96
50,942751,Antimony Fan | Grape Investor,1911.5,81
51,136534,NPT BBM | Beast,1911.1,77
52,61591,DA EMP | Sinji,1910.9,104
53,583155,MOB | Bobo,1908.3,1277
54,1744009,EMW Esports 2 | Saiyan,1901.1,117
55,228477,LRA_START,1897.8,210
56,1412639,Fortune | xavier,1897.1,94
57,540839,MBS | Justinbyleth,1896.9,134
58,1591717,FrBz | Keykard,1895.8,89
59,464995,Bandon / Elam,1894.5,66
60,1852344,LRA | Karflo,1893.6,139
61,143562,Sin | ZeldaPlayer,1893.1,212
62,1100022,LRA PAL | Lakia,1892.5,201
63,2058734,LCU | TW | Kay Yun,1890.8,79
64,1189720,TR | MBeniS | Marvale,1890.3,133
65,53621,Ho3K | John Numbers,1887.0,131
66,981752,Tano,1885.5,167
67,2867178,Akbros | Bing Bong,1883.3,129
68,1467525,FREE AGENT | ZiggySmols,1881.7,312
69,2309083,WSU | PoppinXL,1880.1,31
70,3566032,Bloom | sLuGG,1880.0,149
71,1243241,NS | Amai7,1879.9,28
72,2048041,Green Guy,1879.4,128
73,2010954,Char,1878.2,42
74,1931564,RW | MBS | Petayaa,1877.6,91
75,1334378,9th | Finn,1875.5,61
76,662541,Deltaforce,1875.1,112
77,358391,Na | Vince,1868.7,100
78,568434,Sobriquet Sola,1867.8,92
79,467656,WPC | 幼鹿 (fawn),1863.1,149
80,1714016,swag ! 8 | Christian,1860.1,55
81,261992,Amaryllis,1857.9,208
82,605782,parkerx1,1857.3,110
83,1557444,Na | snogi,1857.1,52
84,1810739,GuyGuy,1856.2,192
85,616232,FzP | BeatyBean,1854.0,620
86,1608902,MikemasterX10,1853.8,137
87,999566,FzP | LRA | TabSoda,1852.9,109
88,1738277,SirDunk,1851.4,56
89,160103,Gen,1850.7,412
90,569558,Cartluke14,1849.6,76
91,1331707,layla,1848.7,80
92,265075,the wise cow | pango,1845.8,113
93,2324329,GRNT | Virgo,1844.5,77
94,496339,Meli,1841.4,136
95,2105718,H-Meister,1838.7,425
96,152534,EMPIRE | SoulArts,1838.6,236
97,1330121,Swigzy,1838.5,203
98,2516567,4Freddy! | Hikari,1837.9,261
99,1605499,Luigikid64,1837.1,66
100,1112678,GRNT | FroggySTYL,1836.9,185
101,1875022,OXESPORTS | toyotatace,1836.0,48
102,29992,Sho,1835.9,61
103,3655189,RowanWinnerLittleMacMain,1834.4,131
104,469746,Haars,1834.1,74
105,544114,Derpager,1832.1,104
106,1942364,Scrote,1830.5,82
107,2385861,SCB/Ug_nyc | FGCGambit,1828.8,212
108,737909,FrBz | StarZ,1825.9,25
109,2797217,Asbestos | FruitMeatball,1823.2,84
110,390014,Reyluno,1822.9,124
111,1473392,Straw Hat | Hoo D. Nii,1822.2,105
112,1463554,FzP | TW | MBS | SmashBros!,1820.5,238
113,1480033,Gh0st,1818.4,173
114,551860,PBJ | Noodl,1818.0,127
115,3405682,VLNY | HONGO,1817.4,61
116,1650136,SBU | Amayne,1815.4,154
117,1138799,9superpie,1815.2,93
118,2876366,Bloom | Kyrein,1814.5,37
119,1802706,DoAndroidsDreamOfESheep,1813.4,91
120,1641578,GRNT | Skew,1810.7,96
121,3321192,FzP | Zuhiy,1810.1,182
122,2564154,Louis Dio,1810.0,117
123,1744683,REBIRTH | Chum,1808.8,126
124,1244041,ToughLudwig,1808.6,149
125,44379,Lito,1808.0,80
126,1224156,MMG+ | GRNT | Slade,1807.7,293
127,249887,ENC | Noku,1807.4,1060
128,1276193,A9,1806.3,84
129,297614,MRW,1805.9,129
130,3304742,Pizza Ant,1805.4,121
131,1703174,SJU | Taiyo,1805.2,107
132,1692066,Jailbird | Yufine,1805.2,166
133,3743679,Shon | שון,1804.6,170
134,266003,Smush | Burst,1804.5,125
135,2902631,NP | UniTy,1802.9,109
136,3870772,4Miles | Kayla the Pacinator,1802.0,81
137,1087860,DTP,1801.8,110
138,2421372,Dandori | Artfishbot,1800.5,103
139,1986069,GRNT | Jager,1799.1,337
140,2842804,Redsaw,1798.4,521
141,1224902,WebbJP,1797.3,93
142,3545741,Mr.Fahrenheit,1797.1,75
143,70538,ABT3 | Wrath,1796.5,22
144,35065,Artisan,1795.8,132
145,1150960,FG | BlazingBoy,1795.8,57
146,1141497,matt,1793.9,81
