rank,entrant_id,name,elo,sets_played
1,1216463,LRA | Syrup,2271.8,179
2,370802,CTG | Zomba (B),2207.2,238
3,58121,Ling,2176.4,267
4,2831089,Bubbs,2154.8,985
5,1005189,SBU | Quidd,2131.8,266
6,1972274,Raccoon | Cody,2128.6,410
7,46517,Tony Pajamas,2055.5,158
8,2220603,FORTUNE | DWTW | Fhantum,2037.6,211
9,158871,ShopifyRebels | Light,2020.1,67
10,1769202,VL | Aquaze,2013.5,153
11,156255,Phantom,2011.8,54
12,2519248,Team Vars | Free KayFlock,1998.3,1594
13,414731,EMPIRE | PkChris,1995.2,305
14,1050386,ENC | Cee,1974.9,296
15,1212255,Interrobang,1959.4,139
16,3662307,Moist | Light,1959.0,34
17,233318,PAG AoC | Gaius,1956.0,136
18,680006,FC | Wheezer,1955.3,595
19,15889,FC | Mr. E,1953.2,359
20,1071129,Pharaoh,1948.7,89
21,415862,ENC | MOB | reed,1948.5,1358
22,241491,MOB | Myles,1946.3,1045
23,1290320,7DaysFREE | AmericanWeeaboo,1940.5,158
24,2520770,CHP | Smurfposter,1936.0,150
25,919736,ZeroTwoNone,1932.7,158
26,1802371,TheBluntOgre,1927.3,114
27,182912,Steelix,1926.2,149
28,3097780,Loq | Seel,1924.0,263
29,1064188,Yeast,1923.1,277
30,1784114,SOUP-E | GRIT,1922.2,316
31,220089,BlitzLuigy,1913.0,96
32,136534,NPT BBM | Beast,1911.1,77
33,61591,DA EMP | Sinji,1910.9,104
34,583155,MOB | Bobo,1908.3,1277
35,228477,LRA_START,1897.8,210
36,1412639,Fortune | xavier,1897.1,94
37,1591717,FrBz | Keykard,1895.8,89
38,464995,Bandon / Elam,1894.5,66
39,1852344,LRA | Karflo,1893.6,139
40,143562,Sin | ZeldaPlayer,1893.1,212
41,1100022,LRA PAL | Lakia,1892.5,201
42,1189720,TR | MBeniS | Marvale,1890.3,133
43,53621,Ho3K | John Numbers,1887.0,131
44,981752,Tano,1885.5,167
45,1467525,FREE AGENT | ZiggySmols,1881.7,312
46,2309083,WSU | PoppinXL,1880.1,31
47,2048041,Green Guy,1879.4,128
48,2010954,Char,1878.2,42
49,1334378,9th | Finn,1875.5,61
50,261992,Amaryllis,1857.9,208
51,1810739,GuyGuy,1856.2,192
52,616232,FzP | BeatyBean,1854.0,620
53,1608902,MikemasterX10,1853.8,137
54,999566,FzP | LRA | TabSoda,1852.9,109
55,160103,Gen,1850.7,412
56,1331707,layla,1848.7,80
57,265075,the wise cow | pango,1845.8,113
58,2324329,GRNT | Virgo,1844.5,77
59,496339,Meli,1841.4,136
60,2105718,H-Meister,1838.7,425
61,152534,EMPIRE | SoulArts,1838.6,236
62,1330121,Swigzy,1838.5,203
63,2516567,4Freddy! | Hikari,1837.9,261
64,1112678,GRNT | FroggySTYL,1836.9,185
65,2385861,SCB/Ug_nyc | FGCGambit,1828.8,212
66,737909,FrBz | StarZ,1825.9,25
67,390014,Reyluno,1822.9,124
68,1463554,FzP | TW | MBS | SmashBros!,1820.5,238
69,1480033,Gh0st,1818.4,173
70,1650136,SBU | Amayne,1815.4,154
71,1138799,9superpie,1815.2,93
72,1641578,GRNT | Skew,1810.7,96
73,3321192,FzP | Zuhiy,1810.1,182
74,2564154,Louis Dio,1810.0,117
75,1244041,ToughLudwig,1808.6,149
76,44379,Lito,1808.0,80
77,1224156,MMG+ | GRNT | Slade,1807.7,293
78,249887,ENC | Noku,1807.4,1060
79,3304742,Pizza Ant,1805.4,121
80,1703174,SJU | Taiyo,1805.2,107
81,1692066,Jailbird | Yufine,1805.2,166
82,3743679,Shon | שון,1804.6,170
83,266003,Smush | Burst,1804.5,125
84,1087860,DTP,1801.8,110
85,1986069,GRNT | Jager,1799.1,337
86,2842804,Redsaw,1798.4,521
87,1224902,WebbJP,1797.3,93
88,35065,Artisan,1795.8,132
89,1700217,RW | Floppyfail,1793.5,449
90,1005216,GRNT | Serta,1793.4,186
91,16113,Raptor,1783.6,307
92,774806,VB3,1778.2,139
93,452907,Reilly,1776.5,157
94,2384793,SBU | Steve,1776.4,76
95,2978333,WW | Fader,1775.3,72
96,1003161,ZXZ | The Hunter,1775.1,69
97,380159,IMP | Zaxel,1774.1,155
98,1593009,CHP | MomHunter9009,1772.8,61
99,266015,FC | Stratas,1769.1,234
100,780256,NiP,1767.1,660
101,1793104,MiikeFromTheBronx,1765.5,61
102,3032725,q2 | Judgy,1765.0,67
103,1312764,<>< | Deception,1763.8,197
104,1430481,ARIES,1763.3,125
105,1825040,GTH | vitz,1758.5,250
106,155986,Chrin / GOGO,1756.6,451
107,2892291,ȺͶŦI_UNKNOWN PlȺYER,1752.6,96
108,51901,Bachilles,1749.3,123
109,29243,ENC | Jaku,1749.0,102
110,4992539,Val,1748.5,72
111,719390,CHP | Conor McGregor,1747.2,27
112,1609925,MOB | Infernape,1742.7,1558
113,229860,WKZ | Mega,1742.2,175
114,2202094,CSH | Kayjun Lady,1741.4,360
115,147436,Hindsight,1740.4,189
116,606386,CJFrozen / Dany,1737.6,19
117,2858096,PUP | myles,1737.2,21
118,1452744,Cross,1735.1,110
119,1693402,Vinsmoke,1732.4,110
120,278439,FC | Haze,1731.6,108
121,261142,Djohnmark,1730.2,437
122,285520,Blank,1725.9,82
123,2243550,StarForce,1725.6,173
124,1529247,Mellow,1725.0,100
125,1633924,ENC | Gabo,1724.5,519
126,1805037,THR l GRNT | TWICE,1724.0,168
127,147886,Xioli,1720.5,106
128,1751649,Syn! | D.Danger,1717.9,873
129,1662027,Seb Undeble,1717.6,152
130,800407,Tom,1717.1,524
131,649442,TK1,1716.3,1063
132,71401,UtopianRay,1715.6,132
133,1053442,Baren,1714.5,157
134,1454971,SHU | Mr. L,1714.5,72
135,245443,coffeebug,1712.8,680
136,185802,GTH | EJJ,1712.5,103
137,1648968,10K | Mulli$,1712.3,106
138,1655542,DeLay,1711.9,194
139,1296894,GTH | Justinjpeg,1711.8,114
140,2583231,GRNT CHP VB3 | Louie,1711.0,211
141,757280,Kitty Princess,1704.8,140
142,2980064,MMG+ | BIG CRUMB,1703.7,200
143,1902502,SBU | MeKa,1703.4,171
144,70210,TRL,1694.3,78
145,1022822,GRNT | Mr.L,1692.1,65
146,4122369,HONOR/BTE | INVINCIBLE,1688.5,196
147,2465656,loq | gwyn,1686.1,37
148,4317604,WHS | BETA,1685.3,141
149,1070879,Trenko,1684.4,88
150,612997,SCB | Tito,1683.8,94
