rank,entrant_id,name,elo,sets_played
1,370802,CTG | Zomba,2146.6,181
2,1216463,LRA | Syrup,2129.3,142
3,1005189,SBU | Quidd,2076.3,258
4,58121,Ling,2069.8,205
5,2831089,Bubbs,2068.9,925
6,2220603,FORTUNE | DWTW | Fhantum,2043.6,165
7,158871,ShopifyRebels | Light,2043.5,49
8,2520770,CHP | Smurfposter,2002.5,136
9,1972274,Raccoon | Cody,1989.6,311
10,1050386,ENC | Cee,1951.5,290
11,680006,FC | Wheezer,1940.8,496
12,241491,MOB | Myles,1939.7,1047
13,414731,EMPIRE | PkChris,1938.3,196
14,53621,Ho3K | John Numbers,1935.4,77
15,2519248,Team Vars | Free KayFlock,1933.7,1541
16,15889,FC | Mr. E,1930.9,321
17,919736,ZeroTwoNone,1893.3,148
18,464995,Bandon / Elam,1887.4,52
19,1769202,VL | Aquaze,1885.1,154
20,61591,DA EMP | Sinji,1879.5,47
21,1591717,FrBz | Keykard,1878.3,89
22,3743679,Jake from State Farm,1876.8,145
23,182912,Steelix,1876.1,131
24,3662307,Moist | Light,1873.6,23
25,261992,Amaryllis,1871.6,112
26,1784114,SOUP-E | GRIT,1853.5,266
27,415862,reed,1837.6,1281
28,1064188,The Superberry,1830.7,206
29,1071129,Pharaoh,1830.5,60
30,3321192,FC FzP | Zuhiy,1828.3,122
31,2010954,OE | Char,1826.2,28
32,1212255,Interrobang,1815.1,100
33,1852344,LRA | Karflo(B),1812.1,133
34,1189720,TR | MBeniS | Marvale,1811.7,129
35,1100022,LRA PAL | Lakia,1804.7,113
36,1810739,GuyGuy,1802.4,173
37,1802371,TheBluntOgre,1797.7,87
38,152534,EMPIRE | SoulArts,1797.5,218
39,160103,Gen,1793.6,399
40,583155,MOB | Bobo,1793.0,1246
41,737909,FrBz | StarZ,1788.1,22
42,1331707,layla,1785.2,65
43,1290320,7DaysFREE | AmericanWeeaboo,1783.6,87
44,1805037,THR l GRNT | TWICE(B),1783.3,126
45,1467525,FREE AGENT | ZiggySmols(B),1782.5,237
46,220089,BlitzLuigy,1779.7,77
47,136534,NPT BBM | Beast,1778.4,129
48,56497,Alo!,1778.3,33
49,2048041,Green Guy,1777.2,121
50,1334378,9th | Finn,1773.4,56
51,1330121,Swigzy,1768.7,202
52,2842804,Redsaw,1763.3,507
53,1703174,SJU | Taiyo,1761.3,98
54,143562,Sin | ZeldaPlayer,1759.7,93
55,496339,Meli,1758.6,50
56,780256,NiP,1754.6,654
57,1692066,Jailbird | Yufine,1751.0,131
58,1005216,GRNT | Serta,1750.5,182
59,29243,ENC | Jaku,1749.5,65
60,1112678,GRNT | FroggySTYL,1749.0,167
61,999566,FzP | LRA | TabSoda,1748.6,60
62,228477,LRA_START,1746.7,187
63,1650136,SBU | Amayne,1745.3,137
64,1224902,Night Shift | WebbJP,1744.3,99
65,1480033,Gh0st,1743.6,173
66,616232,FzP | BeatyBean,1743.5,526
67,233318,PAG AoC | Gaius,1743.2,33
68,3097780,Loq | Seel,1743.1,192
69,1312764,<>< | Deception,1740.4,160
70,2309083,WSU | PoppinXL,1740.1,19
71,1825040,GTH | vitz,1739.6,219
72,1087860,DTP,1736.9,104
73,981752,Tano,1734.3,80
74,249887,ENC | Noku,1731.4,1028
75,734353,MintyFlesh / Swag Master,1731.1,82
76,44379,Lito,1728.8,34
77,266015,FC | Stratas,1728.5,137
78,719390,CHP | Ling Gon Goo Lee,1719.6,20
79,1608902,MikemasterX10,1719.2,101
80,1641578,GRNT | Skew,1716.3,78
81,1108399,cyanzura,1715.8,151
82,3304742,Pizza Ant,1714.8,54
83,2385861,SCB/Ug_nyc | FGCGambit,1712.6,56
84,606386,CJFrozen / Dany,1711.8,15
85,265075,the wise cow | pango,1709.3,72
86,155986,Chrin / GOGO,1707.0,404
87,266003,Smush | Burst,1705.1,64
88,1224156,MMG+ | GRNT | Slade,1704.6,234
89,1700217,RW | Floppyfail,1702.2,300
90,2105718,H-Meister,1700.8,346
91,1244041,ToughLudwig,1700.4,116
92,3032725,q2 | Judgy,1699.7,17
93,1022822,GRNT | Mr.L,1698.5,67
94,16113,Raptor,1698.0,295
95,1430481,ARIES,1697.8,125
96,1609925,MOB | Infernape,1697.8,1558
97,261142,Djohnmark,1692.0,427
98,1463554,FzP | TW | MBS | SmashBros!,1689.4,179
99,71570,TR | SlingShot,1687.8,60
100,1793104,MiikeFromTheBronx,1683.1,19
101,2516567,4Freddy! | Hikari,1682.9,187
102,1593009,CHP | MomHunter9009,1677.3,52
103,51901,Bachilles,1672.4,76
104,2202094,CSH | Kayjun Lady,1671.6,214
105,452907,Reilly,1667.9,61
106,1633924,ENC | Gabo,1667.8,502
107,4169797,lilpeep,1667.3,10
108,1693402,Vinsmoke,1666.9,87
109,245443,coffeebug,1662.2,656
110,1751649,Syn! | D.Danger,1660.2,861
111,147886,Xioli,1659.5,100
112,1070879,Trenko,1659.0,85
113,1452744,Cross,1658.1,104
114,185802,GTH | EJJ,1657.6,78
115,850212,Balderdash,1655.7,139
116,1986069,GRNT | Jager,1655.6,244
117,229860,WKZ | Mega,1652.3,152
118,4689970,Free KayFlock,1652.0,8
119,2324329,GRNT | Virgo,1651.7,25
120,1721948,Go Rangers | Queen,1651.2,169
121,1229103,MOB | Eliakim,1650.4,670
122,1285194,trap queen,1649.9,235
123,252377,Slasher,1649.4,30
124,1510669,NotBae,1647.7,68
125,1529247,Mellow,1647.3,103
126,1662027,Seb Undeble,1643.2,133
127,147436,Hindsight,1638.6,164
128,1595628,FC | G-XTREME,1637.4,213
129,4317604,WHS | BETA,1636.2,58
130,2252991,Comoli,1635.5,82
131,1063610,Onin,1634.3,6
132,2583231,GRNT CHP VB3 | Louie,1633.6,102
133,325777,MOB | COLD,1631.8,178
134,2384793,SBU | Steve,1630.7,32
135,278439,FC | Haze,1629.0,28
136,757280,Kitty Princess,1628.5,30
137,649442,TK1,1627.3,1031
138,1928105,JPN | KurtSwitch,1627.0,62
139,1750056,SuperSanic21,1625.3,108
140,1375338,TF0256,1624.6,69
141,2564154,Louis Dio,1622.3,16
142,1053442,Baren,1621.9,125
143,230038,X,1621.8,75
144,4122369,HONOR/BTE | INVINCIBLE,1620.1,74
145,2243550,StarForce,1618.8,143
146,3620456,ZeroTwoNone,1618.3,15
147,2087765,WU/MTLC/ML | TWITCHY!,1617.0,8
148,2980064,MMG+ | BIG CRUMB,1615.7,115
149,2201580,TDC SJSU | Lammers44,1615.5,7
150,4008986,LYM? | Eleventy1,1613.9,18
151,1121293,Val,1613.1,159
152,1288104,SBU | vanchy,1612.8,109
153,800407,Tom,1610.4,431
154,1228156,Pado,1608.0,481
155,851857,ENC | SaladDressing,1607.2,10
156,3801556,Providence,1607.1,83
157,1307014,SOUP-E | Moat,1607.0,154
158,2598045,Menbow/めんぼぉ,1605.8,14
159,1471306,FSC | GRNT | Wildogz,1605.3,81
160,33900,Kamex / MaouSilver,1605.1,52
161,2892291,ȺͶŦI_UNKNOWN PlȺYER,1605.0,22
162,1154793,Kennesaw State University,1604.7,8
163,1003161,ZXZ | The Hunter,1603.6,13
164,774806,VB3,1601.7,57
165,2996581,PUP | Myles,1599.8,6
166,1719545,3U | Pado,1598.2,53
167,1518438,SWR | Enriquethepigeon,1598.1,181
168,2129156,Stelter,1598.0,190
169,1758326,ebs | $hrutik,1596.5,19
170,244598,PSG | balls,1596.3,57
171,1510743,MMG+ MBS | K1NG,1592.5,93
172,1321838,Adam,1592.4,22
173,1655542,DeLay,1592.2,123
174,1659330,SamSam,1592.0,71
175,1586470,Cipher,1591.8,113
176,1590243,GS/HoM | Majestic Souls,1591.6,13
177,1157788,Glutamate,1590.3,107
178,1998572,amoxicillin | dish soap,1589.6,9
179,1031044,benn 9 9 9,1589.3,84
180,63962,ENC | Ice,1588.2,58
181,1580089,DENIM CLUB | petebr0,1587.8,12
182,213342,PinkDocJ,1587.4,7
183,2195603,charszum,1587.1,258
184,680481,LuffyMK,1586.3,18
185,550127,WFP | CRB,1586.0,15
186,39740,player 4,1586.0,41
187,185040,Aero,1584.2,10
188,1475247,Playmaker,1583.6,12
189,525344,Tilde,1583.6,6
190,1412639,131 | xavier,1582.4,14
191,2151188,DumplingKing(B),1582.1,82
192,2334632,MOB | Lemon,1580.3,21
193,2987715,GORDO | TFO256,1579.1,7
194,1762779,X!Akuma,1578.7,98
195,1296894,GTH | Justinjpeg,1578.3,94
196,256474,dbfc | yoBBi,1578.2,123
197,864900,Newgate,1577.4,13
198,1811210,GTH | MBS | Bootleg,1576.4,77
199,1580144,Madasti,1575.9,65
200,1902502,SBU | Saiyan Walk,1575.9,111
201,29142,SENTRY | spoop,1575.1,18
202,128671,QueVeen,1574.8,7
203,345023,GRNT | PC Ninja,1570.8,838
204,2402885,BlueFlare,1570.1,21
205,304973,OG | Zaphros,1569.6,110
206,824294,ET | GODwithinAnthony,1568.7,22
207,219727,EZ | Killer,1568.2,41
208,1807531,CTG | AnthonyIsntCool,1567.4,6
209,2167729,SCB | NinJenDo,1566.5,102
210,230304,GTH | LRA | Steven8er,1565.8,65
211,1174400,Soul Society | LazyZach,1565.5,6
212,25509,OA|FC | Nexus,1564.5,10
213,70832,Oatmeal,1564.1,24
214,1398715,Fizzystix,1564.1,147
215,240751,Team Wex | Wex,1562.4,168
216,1824970,KDE | Chappsticc,1562.3,324
217,1731974,Ryan,1561.7,83
218,1141005,Light's friend | Clive,1561.4,99
219,3436028,Rojo | Ajred,1561.2,27
220,1007446,E_01,1560.7,5
221,5099409,REV | H-Meister,1560.6,5
222,368063,C2F | Average Alex,1559.9,8
223,2790597,Tr4sh | $Krilldog$,1559.5,13
224,4992539,Val,1558.7,27
225,2978333,WW | Fader,1557.6,18
226,1077177,H2|YBG|UNCG | Moxort,1557.2,9
227,499319,EDLN | Salt King,1557.0,20
228,1531390,Fiestero,1556.9,157
229,1350424,MHM | 天 | VulgarKaiju,1556.9,621
230,160272,BAE | YBBurrus,1556.6,14
231,1971465,AOC | Dededenied,1556.4,7
232,2088174,GORDO | TFO256,1554.7,223
233,2263562,WE OUTSIDE | YoshiSonic,1554.5,80
234,1183244,chancla,1554.0,73
235,1099914,Bimbus,1552.7,75
236,2006693,CHP | Relaxe,1552.6,291
237,3676808,q2 | Crescent | Ashi,1552.3,5
238,1246252,DUSK | Pugi,1551.8,10
239,533304,Troll_Tactics,1549.7,13
240,5544702,KDE | Chappsticc,1547.9,5
241,620017,MBS | xiii,1547.7,10
242,2465656,loq | gwyn,1547.3,16
243,1303313,narrwall / Floppyfail,1547.1,18
244,1208753,Agua,1546.9,75
245,796048,ENC | Drilago,1546.7,1140
246,1771679,ZeroTwoNone,1546.4,5
247,1780695,LBE | Raybands,1546.3,84
248,1012831,Jam,1544.8,5
249,1529812,FBI | MaouSilver,1544.2,318
250,2638518,REV | Brayden,1544.1,8
251,442000,HEYO | MojoGameSlayer,1543.9,2
252,415239,Pong,1541.7,11
253,1284430,Exia,1540.7,4
254,1728859,GRNT | Swag Master,1540.1,118
255,1054597,Terence,1539.8,22
256,50963,3U | kevy,1539.2,44
257,2178506,Swaggin | Disarming5,1538.9,12
258,2024480,EVC | BB8,1538.9,51
259,1409025,nyKovah,1536.4,9
260,1188970,DF | kirby509,1533.9,4
261,390014,Reyluno,1533.8,21
262,345629,PCNinja,1533.6,28
263,2700639,Desimus,1533.6,22
264,1441832,TFO256,1533.3,6
265,358960,USAE | inf.escape,1533.1,11
266,1011767,MBS | Sora_J,1532.9,4
267,1810011,Yikes! ebs Kqt | FD,1532.7,6
268,901519,Lui-Jesus,1532.2,2
269,1187549,Not | L7ogz,1531.2,4
270,1039742,DA | Vice,1530.9,2
271,3800500,Aero,1530.8,4
272,3652196,Big Water,1530.5,5
273,331195,MikeMM,1530.3,23
274,1602986,SBU | BopIt!,1528.1,178
275,146691,Rob Boss,1527.8,43
276,1179016,12G | MESSIAH,1526.8,2
277,4928847,BB8,1526.5,4
278,2086800,RISE | Union X,1526.2,76
279,3920247,Raptor,1525.3,5
280,1083418,CRG/GRNT/MXC | Vapor,1525.2,4
281,3849122,MOB | GRNT | Chrin,1525.1,8
282,5512295,Raptor,1524.9,4
283,1992273,TXC | Geodash,1524.8,45
284,341914,Triple A,1524.8,17
285,2035678,PeteMan23,1524.8,392
286,1307109,CHP | Razzly,1522.9,5
287,265251,Deedha,1522.7,17
288,26047,Brave,1521.6,9
289,4496420,Stelter,1521.0,4
290,4287882,Stelter,1520.7,4
291,467446,LoKi,1520.1,1
292,4148594,Stelter,1519.8,4
293,1488238,Waypoint,1519.4,1
294,70210,TRL,1519.2,4
295,3440801,CHP | Moat,1519.1,4
296,1017520,808s | Muted,1519.1,1
297,2802053,Billio,1519.0,2
298,2106082,butter,1518.8,2
299,134891,GRNT | Jeans,1518.6,1
300,1648968,10K | Mulli$,1518.4,81
301,1573466,TwoTone,1518.4,1
302,569195,UU | Mizu,1518.1,8
303,3605541,Aero,1517.9,4
304,1586193,Cleaningproduct,1517.9,1
305,4313177,Cookies,1517.7,38
306,4060299,GSG | Reed,1517.6,3
307,576268,LVD | Suarez,1517.3,1
308,1091411,IHL,1517.1,152
309,1393892,Quidd / Charles,1516.9,1
310,321425,TR Stretch / Purity,1516.8,1
311,544841,Zio,1516.7,1
312,1468611,NMDusk,1516.7,142
313,4281178,Deific,1516.2,8
314,339291,Ragnellrok / Tom,1516.0,1
315,777690,Mz. | fortyseven,1515.9,1
316,1377718,Agua,1515.9,16
317,1751700,Kimboiyachi,1515.9,4
318,1285987,HF,1515.8,1
319,2136075,G-Money,1515.8,109
320,2008062,Pango,1515.8,1
321,849725,Arc | RyuuJin,1515.1,1
322,3796224,DEW | Hailfire,1515.0,4
323,937364,bran,1514.9,3
324,24211,SaltyFun,1514.6,42
325,2084157,PPA | Finraal,1514.5,42
326,1459705,ryu,1514.5,1
327,4148596,Stelter,1514.2,4
328,413400,SonicBoxx | Edo_Blaze,1514.1,1
329,1066557,5LG | CSUF | Tact,1513.8,4
330,326148,DA | EMP | Venia,1513.7,1
331,62609,Fabiio,1513.2,3
332,160229,Vent / innoxia,1513.1,74
333,1738307,MikeyProHD,1513.0,1
334,2264877,Lockhart,1512.7,74
335,145261,Edwin,1512.6,1
336,5297798,providence,1512.4,4
337,29507,21S | Skyhook,1511.9,1
338,1609844,Premasaur,1511.8,1
339,1770562,MOB | Loftz,1511.7,1112
340,2925431,CHP | JAMES,1511.5,11
341,1274,Black Mamba,1511.3,1
342,276602,George,1511.1,1
343,1586196,Status Quo,1511.1,1
344,1112255,GIANT | fart,1510.9,86
345,850428,Flo,1510.8,1
346,1072988,ZekeReds,1510.6,113
347,1625762,AstroPokemonWorld,1510.6,9
348,1441578,Happy Burns,1510.5,1
349,945989,AceAttorneyist,1510.4,3
350,206240,CF | Phuzix,1510.2,5
351,5501427,Raptor,1510.2,3
352,272462,Zoo,1510.1,11
353,285520,Blank,1509.8,8
354,3446093,SBU | Bluespark7,1509.4,33
355,1601827,Lemon,1509.1,8
356,1309314,bam adebayonetta,1509.0,8
357,3308794,Iona | Lubando,1508.4,8
358,4557714,REV | LevelOne,1508.4,88
359,1625801,sorbi,1507.9,88
360,2326839,Jackbozz,1507.6,13
361,793599,Mr.Mudkip,1507.6,1
362,1547674,MajesticLoaf,1507.4,1
363,147707,CCC | Rudy,1507.4,1
364,3765836,Stelter,1507.2,4
365,1609419,Sky,1507.1,1
366,2716663,PWDR | SavageCube,1507.0,1
367,3067169,GORDO | TFO256,1506.8,1
368,3260808,PPP | Pineapple,1506.8,85
369,2456696,Arkyluky,1506.2,4
370,3281975,Meshy,1505.9,7
371,3533676,Maidenless | Shokaizo,1504.9,9
372,4589211,Raptor,1504.4,3
373,3932776,Stelter,1504.4,4
374,4412243,H-Meister,1504.3,3
375,4146593,George,1504.0,8
376,126395,Old LTCT,1503.8,3
377,1576596,Agua,1503.7,4
378,235568,JAVI,1503.5,3
379,1007323,SBU | Glial,1502.8,76
380,509309,gm | trafe,1502.8,2
381,3416651,WPC | FS | Rhinestone Lady,1502.7,27
382,3722643,Jack-O',1502.5,3
383,2524731,REV | LevelOne,1502.3,78
384,1340702,CHP | Mang0 fan,1502.2,9
385,2820635,Jam,1502.1,3
386,1287199,PhantomsCode,1500.6,2
387,5520974,PM,1500.5,3
388,1564320,Bozo,1500.4,2
389,1592950,DDC | WillMill,1500.2,8
390,1401608,</3 | wakeup,1499.2,31
391,250040,ENC|MOB | LocalmanMatty,1498.9,535
392,330986,G I G A,1498.5,21
393,174987,ඞ | Caststarman,1498.3,73
394,5531108,CHP | MomHunter9009,1497.9,3
395,2208713,backpak72,1496.9,58
396,3696138,Suslord,1496.8,7
397,2993602,CCNY | EOI | Ebrima,1496.8,118
398,5527828,Munchre,1496.6,8
399,4369445,cmeonline,1496.4,3
400,3892820,Gyler,1495.6,3
401,49915,2can,1495.6,56
402,981778,0-2 | Trapinch,1495.1,7
403,713123,Rockyino / trafe,1494.9,2
404,1402993,Pekkeman,1494.5,7
405,4148593,Stelter,1494.4,3
406,217589,Fordham,1493.4,2
407,18685,MM | JLo,1493.1,7
408,1375339,Sansmyman,1492.4,2
