rank,entrant_id,name,elo,sets_played
1,1216463,LRA | Syrup,2207.5,156
2,370802,CTG | Zomba,2161.8,250
3,2831089,Bubbs,2159.3,998
4,58121,Ling,2130.9,262
5,1005189,SBU | Quidd,2124.1,266
6,1972274,Raccoon | Cody,2118.5,402
7,2220603,FORTUNE | DWTW | Fhantum,2115.3,212
8,46517,Tony Pajamas,2042.1,148
9,414731,EMPIRE | PkChris,2035.1,276
10,158871,ShopifyRebels | Light,2010.6,66
11,156255,Phantom,2003.2,51
12,2519248,Team Vars | Free KayFlock,2000.9,1637
13,241491,MOB | Myles,1996.6,1064
14,3662307,Moist | Light,1994.7,41
15,1769202,VL | Aquaze,1973.1,157
16,1050386,ENC | Cee,1971.3,295
17,680006,FC | Wheezer,1969.3,601
18,252377,Slasher,1965.5,172
19,56497,Alo!,1964.9,90
20,3321192,FC FzP | Zuhiy,1963.3,196
21,737909,Fortune | StarZ,1950.7,64
22,15889,FC | Mr. E,1938.4,346
23,136534,NPT BBM | Beast,1933.3,277
24,1784114,SOUP-E | GRIT,1931.1,308
25,919736,ZeroTwoNone,1930.0,158
26,2520770,CHP | Smurfposter,1929.5,172
27,1212255,Interrobang,1928.2,132
28,233318,PAG AoC | Gaius,1926.7,122
29,1064188,The Superberry,1923.6,282
30,981752,Tano,1921.8,170
31,182912,Steelix,1916.6,146
32,1071129,Pharaoh,1914.1,82
33,1802371,TheBluntOgre,1909.2,112
34,415862,reed,1905.8,1370
35,61591,DA EMP | Sinji,1899.9,104
36,1290320,7DaysFREE | AmericanWeeaboo,1894.9,142
37,1591717,FrBz | Keykard,1894.8,89
38,1412639,131 | xavier,1893.7,82
39,464995,Bandon / Elam,1887.4,66
40,1138799,9superpie,1887.2,101
41,1100022,LRA PAL | Lakia,1881.3,177
42,2048041,Green Guy,1880.8,132
43,143562,Sin | ZeldaPlayer,1880.0,180
44,220089,BlitzLuigy,1879.9,96
45,2010954,Char,1879.2,38
46,3097780,Loq | Seel,1879.2,260
47,1805037,THR l GRNT | TWICE(B),1873.7,171
48,152534,EMPIRE | SoulArts,1871.1,235
49,1467525,FREE AGENT | ZiggySmols(B),1870.5,307
50,1189720,TR | MBeniS | Marvale,1866.9,132
51,583155,MOB | Bobo,1866.8,1277
52,53621,Ho3K | John Numbers,1864.3,127
53,1852344,LRA | Karflo(B),1864.0,141
54,1810739,GuyGuy,1861.8,184
55,160103,Gen,1851.2,417
56,261992,Amaryllis,1849.2,201
57,2309083,WSU | PoppinXL,1846.5,29
58,2324329,GRNT | Virgo,1845.5,83
59,999566,FzP | LRA | TabSoda,1837.0,110
60,1331707,layla,1836.9,80
61,1334378,9th | Finn,1835.7,61
62,1703174,SJU | Taiyo,1826.6,105
63,265075,the wise cow | pango,1825.9,108
64,496339,Meli,1822.0,132
65,1692066,Jailbird | Yufine,1820.6,169
66,2516567,4Freddy! | Hikari,1817.9,255
67,2385861,SCB/Ug_nyc | FGCGambit,1817.6,203
68,1330121,Swigzy,1815.1,207
69,1608902,MikemasterX10,1811.5,123
70,228477,LRA_START,1809.8,202
71,1825040,GTH | vitz,1806.1,248
72,1650136,SBU | Amayne,1805.0,150
73,1224902,Night Shift | WebbJP,1803.7,101
74,1480033,Gh0st,1803.7,174
75,1087860,DTP,1802.3,118
76,2564154,Louis Dio,1802.2,117
77,780256,NiP,1802.2,666
78,1312764,<>< | Deception,1798.6,191
79,452907,Reilly(B),1796.5,160
80,35065,Artisan,1795.1,132
81,1641578,GRNT | Skew,1794.1,92
82,1112678,GRNT | FroggySTYL,1793.8,193
83,3743679,Shon | שון,1792.5,169
