rank,entrant_id,name,elo,sets_played
1,370802,CTG | Zomba,2161.8,250
2,2831089,Bubbs,2159.3,998
3,1005189,SBU | Quidd,2124.1,266
4,1972274,Raccoon | Cody,2118.5,402
5,2220603,FORTUNE | DWTW | Fhantum,2115.3,212
6,2519248,Team Vars | Free KayFlock,2000.9,1637
7,241491,MOB | Myles,1996.6,1064
8,1769202,VL | Aquaze,1973.1,157
9,680006,FC | Wheezer,1969.3,601
10,3321192,FC FzP | Zuhiy,1963.3,196
11,15889,FC | Mr. E,1938.4,346
12,1784114,SOUP-E | GRIT,1931.1,308
13,1064188,The Superberry,1923.6,282
14,182912,Steelix,1916.6,146
15,415862,reed,1905.8,1370
16,2010954,Char,1879.2,38
17,3097780,Loq | Seel,1879.2,260
18,1805037,THR l GRNT | TWICE(B),1873.7,171
19,152534,EMPIRE | SoulArts,1871.1,235
20,1467525,FREE AGENT | ZiggySmols(B),1870.5,307
21,583155,MOB | Bobo,1866.8,1277
22,1852344,LRA | Karflo(B),1864.0,141
23,160103,Gen,1851.2,417
24,261992,Amaryllis,1849.2,201
25,1331707,layla,1836.9,80
26,1703174,SJU | Taiyo,1826.6,105
27,1692066,Jailbird | Yufine,1820.6,169
28,2516567,4Freddy! | Hikari,1817.9,255
29,1330121,Swigzy,1815.1,207
30,228477,LRA_START,1809.8,202
31,1825040,GTH | vitz,1806.1,248
32,1650136,SBU | Amayne,1805.0,150
33,780256,NiP,1802.2,666
34,1312764,<>< | Deception,1798.6,191
35,452907,Reilly(B),1796.5,160
36,1112678,GRNT | FroggySTYL,1793.8,193
37,2842804,Redsaw,1789.4,518
38,2105718,H-Meister,1788.0,416
39,249887,ENC | Noku,1781.6,1063
40,616232,FzP | BeatyBean,1775.8,630
41,1224156,MMG+ | GRNT | Slade,1774.8,277
42,1700217,RW | Floppyfail,1769.5,432
43,1609925,MOB | Infernape,1765.6,1575
44,1463554,FzP | TW | MBS | SmashBros!,1758.6,232
45,1108399,cyanzura,1756.3,160
46,266015,FC | Stratas,1754.8,237
47,1593009,CHP | MomHunter9009,1749.7,59
48,16113,Raptor,1749.7,307
49,1430481,ARIES,1748.6,125
50,2202094,CSH | Kayjun Lady,1746.5,347
51,155986,Chrin / GOGO,1744.4,442
52,1022822,GRNT | Mr.L,1739.3,71
53,1662027,Seb Undeble,1737.5,150
54,51901,Bachilles,1733.9,112
55,229860,WKZ | Mega,1725.9,168
56,4992539,Val,1721.4,67
57,261142,Djohnmark,1720.1,436
58,1986069,GRNT | Jager,1718.6,328
59,1721948,Go Rangers | Queen,1716.7,246
60,1633924,ENC | Gabo,1713.8,516
61,1751649,Syn! | D.Danger,1713.0,882
62,1529247,Mellow,1710.7,106
63,2980064,MMG+ | BIG CRUMB,1709.4,192
64,800407,Tom,1706.4,511
65,245443,coffeebug,1700.5,678
66,147886,Xioli,1700.0,103
67,2243550,StarForce,1694.2,162
68,2583231,GRNT CHP VB3 | Louie,1693.6,201
69,240751,Team Wex | Wex,1693.4,248
70,4317604,WHS | BETA,1681.0,141
71,649442,TK1,1679.9,1060
72,1053442,Baren,1679.6,155
73,2465656,loq | gwyn,1675.0,36
74,1229103,MOB | Eliakim,1671.7,691
75,3260808,PPP | Pineapple,1667.7,210
76,1902502,SBU | Saiyan Walk,1666.6,166
77,304973,OG | Zaphros,1661.0,178
78,1375338,TF0256,1658.3,69
79,1928105,JPN | KurtSwitch,1657.1,68
80,1228156,Pado,1656.9,498
81,2195603,charszum,1653.5,278
82,3801556,Providence,1644.8,83
83,850212,Balderdash,1640.1,236
84,4313177,Cookies,1639.8,92
85,1307014,SOUP-E | Moat,1637.3,174
86,4008986,LYM? | Eleventy1,1633.8,18
87,256474,dbfc | yoBBi,1633.2,180
88,1398715,Fizzystix,1630.8,178
89,1518438,SWR | Enriquethepigeon,1630.5,187
90,345023,GRNT | PC Ninja,1622.0,849
91,2167729,SCB | NinJenDo,1621.3,132
92,4381444,YBG | Snowbunny Mind Control(A,1619.9,300
93,2129156,Stelter,1618.4,203
94,1824970,KDE | Chappsticc,1612.8,329
95,1350424,MHM | 天 | VulgarKaiju,1604.4,675
96,2790597,Tr4sh | $Krilldog$,1601.7,85
97,2084157,PPA | Finraal,1599.6,53
98,2650945,RISE|I am | The Devil,1592.6,126
99,796048,ENC | Drilago,1590.6,1175
100,1728859,GRNT | Swag Master,1590.5,127
101,1602986,SBU | BopIt!,1590.2,250
102,1531390,Fiestero,1590.2,171
103,2088174,GORDO | TFO256,1588.0,224
104,29142,SENTRY | spoop,1586.7,19
105,2035678,PeteMan23,1586.4,397
106,3249566,EDLN | Octo,1584.2,99
107,2006693,CHP | Relaxe,1582.0,335
108,1731974,Ryan,1581.0,83
109,1529812,FBI | MaouSilver,1575.4,337
110,4557714,REV | LevelOne,1572.6,138
111,2086800,RISE | Union X,1570.7,78
112,45894,TTD | $N,1570.7,175
113,1191080,dbfc | LRA | Pardo,1569.7,290
114,1780695,LBE | Raybands,1569.1,103
115,1112255,GIANT | fart,1564.1,102
116,3631801,domisBUGGIN22,1563.4,133
117,2024480,EVC | BB8,1558.0,53
118,1770562,MOB | Loftz,1556.7,1171
119,2993602,CCNY | EOI | Ebrima(A),1552.2,350
120,4584629,Ornik,1547.3,198
121,250040,ENC|MOB | LocalmanMatty,1545.6,567
122,2272295,LYM? | MM | Llama,1543.9,96
123,1468611,NMDusk,1536.5,142
124,3432322,NELSON (ネルソン),1527.9,357
125,2455865,Agua,1526.8,217
126,2473421,SwissWriter(B),1516.8,145
127,1593729,SwimTank | MOB | the drink,1515.0,938
128,1800430,YHWH | Attaboytom,1514.7,200
129,2086155,EMW Esports 2 | Lozman,1511.9,200
130,709923,SBU | JetFire,1496.6,115
131,2196831,cmeonline,1495.9,189
132,344679,ΘF | Ginja,1491.8,136
133,40136,ENC | Shyguy,1489.2,599
134,1750296,Protean,1487.2,434
135,735414,DTN | Aero,1481.7,611
136,1954010,toad(B),1478.9,322
137,1036122,KDE | Koopai_,1478.4,125
138,129373,MOB | WontonWarrior,1461.2,405
139,959027,ZeXa,1459.5,24
140,1841371,Mustard | Cozy K.(A),1456.5,58
141,2609146,THE BOIS | Imapotato,1455.2,139
142,920328,Cheech,1455.1,294
143,3107231,POP Smash | Zucaritas03,1449.8,140
144,2396760,SBU | Demon Mode,1440.2,115
145,711721,Dreagune,1435.8,509
146,1034801,DEWM | Mr. Reasonable,1434.4,352
147,3024420,K.O.G.,1434.2,87
148,2466509,CV | Thale_X,1416.5,407
149,321223,Heist | Experience,1416.4,10
150,467958,CTG | MMG+ | Cheara,1412.3,75
151,3101298,NP | jaymo,1407.3,194
152,144195,mTx | MOB | SteR ThA KiiD,1405.7,1125
153,1257079,天 | Pryce,1382.4,257
154,1063778,sky,1378.5,31
155,2705447,MOB | swiftniko,1378.0,454
156,3798818,Flo,1360.6,137
157,4523561,Octobro_,1346.1,56
158,701630,MOB | P.I.E.R.C.E,1342.2,370
159,4157833,Deific,1340.6,75
160,1996784,Dudeguy,1340.4,38
161,46551,MOB | Relic Song,1332.0,389
162,1913227,Nindo,1329.4,73
163,1582252,ImYeah (A),1310.7,76
164,147845,TSG | M.Dre,1303.0,291
165,1437134,Solfege,1298.5,113
166,3419888,B Team | PikachuRaichu(B),1279.9,107
167,41440,Master J.J.,1277.8,95
168,4569398,Chrisdol,1231.6,33
169,3238423,m?n | PHG/SJI | mom?gaming(A),1205.2,130
170,279753,MOB | crimson,1200.8,442
171,2694799,Don Melon,1182.3,116
172,982139,LuuvMiki,1178.2,88
173,260300,MOB | cba,1174.2,414
174,3471609,WOKE 2 | justrailly,1125.9,78
175,255443,KenkakuSam,1068.2,165
