rank,player_id,name,conservative_rating,rating,rd,sets_played
1,3650755,Myth,3214.7,3700.1,242.7,9
2,1216463,LRA | Syrup,2316.7,2453.1,68.2,179
3,15768,TSM | Tweek,2221.0,2368.5,73.7,84
4,370802,CTG | Zomba (B),2218.2,2346.3,64.0,238
5,1888506,Bruho,2177.7,2319.2,70.8,51
6,2201580,TDC SJSU | Lammers44,2169.8,2604.5,217.4,7
7,3662307,Moist | Light,2152.2,2395.3,121.6,34
8,231113,Jakal,2148.7,2260.5,55.9,125
9,58121,Ling,2142.7,2273.8,65.5,267
10,2053872,Just Blue,2133.3,2279.3,73.0,51
11,1005189,SBU | Quidd,2120.1,2243.7,61.8,266
12,2831089,Bubbs,2107.0,2214.6,53.8,985
13,523826,HONOR | Yourbro,2101.0,2502.8,200.9,7
14,251734,GAMEING INC. | THE SCHMIXTAPE,2067.6,2462.3,197.4,7
15,1972274,Raccoon | Cody,2053.1,2165.6,56.3,410
16,158871,ShopifyRebels | Light,2043.7,2264.1,110.2,67
17,4689970,Free KayFlock,2036.3,2421.7,192.7,8
18,171589,Akbros | SassyFlygon,2033.0,2136.1,51.5,137
19,147246,LeoN,2030.4,2180.2,74.9,50
20,215623,BERG | Tarik,2020.9,2686.2,332.6,2
21,2220603,FORTUNE | DWTW | Fhantum,2019.2,2120.2,50.5,211
22,1760115,RW | Synnister,2010.8,2113.3,51.3,125
23,46517,Tony Pajamas,2004.7,2174.4,84.8,158
24,1769202,VL | Aquaze,2004.2,2117.0,56.4,153
25,2519248,Team Vars | Free KayFlock,1997.7,2079.1,40.7,1594
26,2309083,WSU | PoppinXL,1992.9,2163.2,85.2,31
27,414731,EMPIRE | PkChris,1991.6,2103.6,56.0,305
28,1243241,NS | Amai7,1983.3,2164.1,90.4,28
29,2010954,Char,1977.9,2157.3,89.7,42
30,3907470,Next | 716 | | CoreyIsHot,1975.0,2315.4,170.2,8
31,1071129,Pharaoh,1973.0,2108.8,67.9,89
32,1247262,ƒяєє αgєηт | TM7_ZAP,1970.4,2400.1,214.8,6
33,1557444,Na | snogi,1967.5,2114.2,73.4,52
34,2186935,Wrap!,1957.7,2454.1,248.2,6
35,464995,Bandon / Elam,1953.5,2123.6,85.0,66
36,136534,NPT BBM | Beast,1953.3,2086.6,66.7,77
37,233318,PAG AoC | Gaius,1949.8,2061.5,55.8,136
38,2996581,PUP | Myles,1947.1,2445.5,249.2,6
39,1064188,Yeast,1946.4,2049.2,51.4,277
40,942751,Antimony Fan | Grape Investor,1944.1,2060.4,58.1,81
41,737909,FrBz | StarZ,1943.0,2147.5,102.2,25
42,1412639,Fortune | xavier,1941.4,2059.6,59.1,94
43,181830,WPC | Vivi,1940.9,2048.7,53.9,143
44,1423851,Balls | CAT,1940.3,2077.8,68.8,94
45,18802,SR | Kola,1939.3,2204.5,132.6,14
46,1189720,TR | MBeniS | Marvale,1939.1,2065.7,63.3,133
47,662541,Deltaforce,1937.7,2055.5,58.9,112
48,156255,Phantom,1935.9,2356.5,210.3,54
49,1774523,NEPA / VLNY | lastMinute,1935.0,2097.2,81.1,69
50,404287,NS | Bloom | Phaethon,1932.0,2076.5,72.3,57
51,1290320,7DaysFREE | AmericanWeeaboo,1930.2,2030.1,49.9,158
52,2419314,Aries,1925.7,2022.3,48.3,164
53,605965,Tony Pajamas,1924.5,2430.6,253.1,6
54,1154793,DGS | spickles,1924.2,2319.1,197.4,10
55,680006,FC | Wheezer,1923.4,2016.4,46.5,595
56,1797847,LRA | Mr_Thugz,1922.8,2028.1,52.7,142
57,271875,716 | mfy.gg | Fresh,1915.4,2023.7,54.1,104
58,241491,MOB | Myles,1915.3,1999.6,42.1,1045
59,1212255,Interrobang,1914.9,2018.4,51.7,139
60,1931564,RW | MBS | Petayaa,1914.6,2031.4,58.4,91
61,1256099,716 | Kabayeezy,1914.4,2036.9,61.3,73
62,15889,FC | Mr. E,1912.2,2074.1,81.0,359
63,1276193,A9,1908.7,2033.9,62.6,84
64,2058734,LCU | TW | Kay Yun,1908.6,2021.6,56.5,79
65,160103,Gen,1903.5,2016.2,56.4,412
66,415862,ENC | MOB | reed,1900.7,1980.1,39.7,1358
67,1784114,SOUP-E | GRIT,1899.3,1996.8,48.7,316
68,132408,BLZE | 6:00am,1899.2,2003.2,52.0,108
69,182912,Steelix,1898.3,2024.7,63.2,149
70,540839,MBS | Justinbyleth,1897.7,1997.3,49.8,134
71,1569435,SZ | Asimo,1896.5,2423.7,263.6,4
72,4650650,Meeprage,1896.4,2012.8,58.2,133
73,2520770,CHP | Smurfposter,1893.4,2088.8,97.7,150
74,61591,DA EMP | Sinji,1892.7,2056.5,81.9,104
75,220089,BlitzLuigy,1892.3,2009.1,58.4,96
76,358391,Na | Vince,1892.2,1998.9,53.3,100
77,29992,Sho,1891.8,2025.2,66.7,61
78,1050386,ENC | Cee,1887.9,2072.5,92.3,296
79,1063610,Onin,1886.8,2273.4,193.3,6
80,1463554,FzP | TW | MBS | SmashBros!,1880.9,1980.2,49.7,238
81,3097780,Loq | Seel,1879.6,1987.7,54.1,263
82,71079,HyperKirby,1878.0,2049.1,85.6,43
83,568434,Sobriquet Sola,1874.0,1999.2,62.6,92
84,616232,FzP | BeatyBean,1873.6,1970.1,48.3,620
85,1541928,TFCR | Parkinja,1873.2,2051.8,89.3,31
86,70538,ABT3 | Wrath,1872.3,2281.0,204.3,22
87,606386,CJFrozen / Dany,1872.1,2133.8,130.9,19
88,467656,WPC | 幼鹿 (fawn),1871.6,1976.1,52.2,149
89,436376,Epic_Gabriel,1870.8,2215.8,172.5,15
90,1852344,LRA | Karflo,1870.6,1990.9,60.1,139
91,1744009,EMW Esports 2 | Saiyan,1863.8,1965.0,50.6,117
92,583155,MOB | Bobo,1863.7,1973.3,54.8,1277
93,1738277,SirDunk,1862.0,2027.4,82.7,56
94,2381488,Obey Your Master,1861.0,2035.3,87.2,79
95,2087765,WU/MTLC/ML | TWITCHY!,1861.0,2229.2,184.1,8
96,261992,Amaryllis,1860.4,1983.3,61.4,208
97,1331707,layla,1859.8,2004.8,72.5,80
98,2324329,GRNT | Virgo,1859.3,1985.8,63.2,77
99,6301,Team Vars | Rivers,1856.8,2027.4,85.3,29
100,4169797,lilpeep,1854.2,2206.3,176.0,10
101,1714016,swag ! 8 | Christian,1852.1,1993.9,70.9,55
102,1467525,FREE AGENT | ZiggySmols,1851.7,1941.3,44.8,312
103,228477,LRA_START,1851.7,1948.3,48.3,210
104,53621,Ho3K | John Numbers,1850.2,2037.0,93.4,131
105,1641578,GRNT | Skew,1849.5,1970.7,60.6,96
106,2867178,Akbros | Bing Bong,1849.4,1946.5,48.5,129
107,1608902,MikemasterX10,1846.9,1971.6,62.4,137
108,1525089,RLz | Krugbo,1846.5,1962.6,58.0,88
109,1244041,ToughLudwig,1844.6,1974.4,64.9,149
110,1100022,LRA PAL | Lakia,1842.5,1940.9,49.2,201
111,143562,Sin | ZeldaPlayer,1842.4,1936.2,46.9,212
112,1875022,OXESPORTS | toyotatace,1842.3,2014.3,86.0,48
113,1187180,smub,1840.5,2026.8,93.2,31
114,1138799,9superpie,1839.9,1954.7,57.4,93
115,4100607,Raccoon | Cody,1838.4,2117.5,139.6,14
116,1605499,Luigikid64,1837.4,1964.6,63.6,66
117,155564,FzP | TR | Hydra,1837.3,2034.4,98.5,21
118,1473392,Straw Hat | Hoo D. Nii,1833.4,1944.2,55.4,105
119,3655189,RowanWinnerLittleMacMain,1832.6,1932.1,49.7,131
120,1224156,MMG+ | GRNT | Slade,1832.2,1922.6,45.2,293
121,719390,CHP | Conor McGregor,1831.7,2098.1,133.2,27
122,1802371,TheBluntOgre,1830.2,1958.9,64.4,114
123,758335,MBS | Z minus,1829.1,1981.9,76.4,81
124,1810739,GuyGuy,1828.4,1991.5,81.6,192
125,999566,FzP | LRA | TabSoda,1827.9,1939.1,55.6,109
126,3566032,Bloom | sLuGG,1821.8,1921.3,49.8,149
127,3743679,Shon | שון,1821.7,2000.6,89.5,170
128,2105718,H-Meister,1821.6,1923.5,50.9,425
129,551860,PBJ | Noodl,1821.2,1921.7,50.3,127
130,2516567,4Freddy! | Hikari,1820.3,1919.7,49.7,261
131,1370191,EMW Esports 2 | KingP,1820.1,1969.0,74.4,52
132,2797217,Asbestos | FruitMeatball,1819.7,1938.7,59.5,84
133,249887,ENC | Noku,1819.4,1920.5,50.6,1060
134,1692066,Jailbird | Yufine,1818.7,1919.8,50.6,166
135,1224902,WebbJP,1818.0,1957.8,69.9,93
136,496339,Meli,1817.7,1954.1,68.2,136
137,1089023,LittleMacMain / HunterWinthorpe,1817.1,1976.0,79.5,57
138,266003,Smush | Burst,1815.3,1946.8,65.7,125
139,1334378,9th | Finn,1815.2,1935.0,59.9,61
140,3321192,FzP | Zuhiy,1814.5,1921.6,53.5,182
141,44379,Lito,1810.6,1962.4,75.9,80
142,2048041,Green Guy,1809.3,1934.1,62.4,128
143,3304742,Pizza Ant,1808.8,1912.8,52.0,121
144,525344,SN | Tilde,1807.2,2238.9,215.9,7
145,1700217,RW | Floppyfail,1806.2,1897.0,45.4,449
146,2385861,SCB/Ug_nyc | FGCGambit,1802.7,1897.9,47.6,212
147,1087860,DTP,1802.3,1932.8,65.3,110
148,152534,EMPIRE | SoulArts,1801.8,1924.6,61.4,236
149,3405682,VLNY | HONGO,1798.4,1930.1,65.9,61
150,469746,Haars,1798.4,1932.7,67.2,74
151,228604,Na | Spiro,1797.2,2144.3,173.5,7
152,1802706,DoAndroidsDreamOfESheep,1795.1,1920.6,62.8,91
153,1480033,Gh0st,1793.8,1921.3,63.7,173
154,297614,MRW,1792.6,1892.6,50.0,129
155,2876366,Bloom | Kyrein,1792.1,1953.1,80.5,37
156,159520,Scrafty,1792.0,2182.3,195.2,8
157,2978333,WW | Fader,1791.9,1907.1,57.6,72
158,2286649,Quandale Dinglelingleton,1791.3,1999.4,104.0,33
159,1330121,Swigzy,1787.4,1905.1,58.9,203
160,1031199,Obmcbob (B),1785.9,1905.8,60.0,100
161,328739,FZP | EO,1784.3,1891.6,53.7,159
162,1112678,GRNT | FroggySTYL,1782.2,1886.2,52.0,185
163,1710348,Nimbus,1780.1,1905.7,62.8,75
164,1409030,HW | ...Insignia,1779.7,1956.9,88.6,27
165,3716419,Libré,1779.3,1956.4,88.5,41
166,265075,the wise cow | pango,1777.3,1925.3,74.0,113
167,1703174,SJU | Taiyo,1773.5,1887.5,57.0,107
168,1650136,SBU | Amayne,1772.7,1918.5,72.9,154
169,919736,ZeroTwoNone,1772.1,2023.3,125.6,158
170,1661301,obesefart,1770.5,1891.8,60.7,78
171,16113,Raptor,1770.0,1875.2,52.6,307
172,1964751,ROK | Karu!,1768.7,2238.9,235.1,3
173,2858096,PUP | myles,1767.8,2150.4,191.3,21
174,571090,Ikan,1766.4,2134.0,183.8,8
175,3032725,q2 | Judgy,1765.0,1965.6,100.3,67
176,54725,naitosharp,1763.3,1986.3,111.5,27
177,1593009,CHP | MomHunter9009,1763.1,1903.2,70.0,61
178,885991,自由 | PsyKoD(A),1762.4,1922.4,80.0,35
179,278439,FC | Haze,1762.1,1877.2,57.6,108
180,1296894,GTH | Justinjpeg,1761.5,1885.2,61.9,114
181,1744683,REBIRTH | Chum,1761.4,1868.7,53.7,126
182,3870772,4Miles | Kayla the Pacinator,1761.3,1887.3,63.0,81
183,1803620,ZASE | ZBosGaming,1759.8,1857.3,48.7,195
184,1412503,MBS | Steffen,1759.6,1916.8,78.6,75
185,1942364,Scrote,1758.6,1895.6,68.5,82
186,569558,Cartluke14,1758.5,1911.4,76.4,76
187,452907,Reilly,1758.2,1852.5,47.2,157
188,1274182,PTM | PK Freeze,1757.5,1911.3,76.9,63
189,147483,HypestTown,1756.3,1895.9,69.8,49
190,1005216,GRNT | Serta,1755.7,1925.0,84.6,186
191,1150960,FG | BlazingBoy,1754.4,1886.9,66.2,57
192,10212,BLZE | Aryeh,1751.8,1869.8,59.0,68
193,1793104,MiikeFromTheBronx,1751.6,1876.0,62.2,61
194,1802684,TorqueDawg,1749.1,1863.1,57.0,95
195,2421372,Dandori | Artfishbot,1747.8,1883.3,67.8,103
196,2585781,NS | Wilsports | Hingle McCringleberry,1747.5,2015.3,133.9,13
197,56497,Alo!,1745.7,1950.8,102.6,31
198,318918,Council | Diamond,1745.6,1861.6,58.0,89
199,483953,SMFN | JKIM | Oolong,1745.2,2141.0,197.9,3
200,1684008,AFAS Bloom | Hyacinthia,1744.9,1842.0,48.6,172
201,981752,Tano,1744.4,1857.5,56.6,167
202,1805037,THR l GRNT | TWICE,1744.1,1838.3,47.1,168
203,3694907,G4G | Sentinel,1743.6,1847.6,52.0,147
204,1648968,10K | Mulli$,1741.7,1853.8,56.1,106
205,229860,WKZ | Mega,1741.2,1859.0,58.9,175
206,147588,CS | Lu,1741.0,1850.4,54.7,121
207,1055253,585Z | Clibs,1740.9,1835.3,47.2,180
208,1727992,CRIMSON DIH,1739.7,1848.9,54.6,171
209,3353422,EMW Esports 2 | Tomodachi Wife,1738.3,1843.7,52.7,105
210,53020,Draxsel,1737.8,1897.6,79.9,59
211,266015,FC | Stratas,1737.0,1845.5,54.3,234
212,3545741,Mr.Fahrenheit,1736.4,1891.1,77.4,75
213,2020012,MayoNays,1736.3,1963.4,113.5,18
214,1720410,FS | TJ13,1734.6,1870.6,68.0,45
215,2636165,OE | G4G | KAZÍÍ,1734.5,1855.3,60.4,109
216,390014,Reyluno,1733.1,1845.1,56.0,124
217,1071318,UD | MPg,1731.8,2080.9,174.5,7
218,1303313,Kqt | narrwall,1730.9,1920.7,94.9,28
219,1825040,GTH | vitz,1728.7,1829.1,50.2,250
