rank,player_id,name,conservative_rating,rating,rd,sets_played
1,1216463,LRA | Syrup,2316.7,2453.1,68.2,179
2,370802,CTG | Zomba (B),2218.2,2346.3,64.0,238
3,2201580,TDC SJSU | Lammers44,2169.8,2604.5,217.4,7
4,3662307,Moist | Light,2152.2,2395.3,121.6,34
5,58121,Ling,2142.7,2273.8,65.5,267
6,1005189,SBU | Quidd,2120.1,2243.7,61.8,266
7,2831089,Bubbs,2107.0,2214.6,53.8,985
8,1972274,Raccoon | Cody,2053.1,2165.6,56.3,410
9,158871,ShopifyRebels | Light,2043.7,2264.1,110.2,67
10,4689970,Free KayFlock,2036.3,2421.7,192.7,8
11,2220603,FORTUNE | DWTW | Fhantum,2019.2,2120.2,50.5,211
12,46517,Tony Pajamas,2004.7,2174.4,84.8,158
13,1769202,VL | Aquaze,2004.2,2117.0,56.4,153
14,2519248,Team Vars | Free KayFlock,1997.7,2079.1,40.7,1594
15,2309083,WSU | PoppinXL,1992.9,2163.2,85.2,31
16,414731,EMPIRE | PkChris,1991.6,2103.6,56.0,305
17,2010954,Char,1977.9,2157.3,89.7,42
18,1071129,Pharaoh,1973.0,2108.8,67.9,89
19,464995,Bandon / Elam,1953.5,2123.6,85.0,66
20,136534,NPT BBM | Beast,1953.3,2086.6,66.7,77
21,233318,PAG AoC | Gaius,1949.8,2061.5,55.8,136
22,2996581,PUP | Myles,1947.1,2445.5,249.2,6
23,1064188,Yeast,1946.4,2049.2,51.4,277
24,737909,FrBz | StarZ,1943.0,2147.5,102.2,25
25,1412639,Fortune | xavier,1941.4,2059.6,59.1,94
26,1189720,TR | MBeniS | Marvale,1939.1,2065.7,63.3,133
27,156255,Phantom,1935.9,2356.5,210.3,54
28,1290320,7DaysFREE | AmericanWeeaboo,1930.2,2030.1,49.9,158
29,1154793,DGS | spickles,1924.2,2319.1,197.4,10
30,680006,FC | Wheezer,1923.4,2016.4,46.5,595
31,241491,MOB | Myles,1915.3,1999.6,42.1,1045
32,1212255,Interrobang,1914.9,2018.4,51.7,139
33,15889,FC | Mr. E,1912.2,2074.1,81.0,359
34,160103,Gen,1903.5,2016.2,56.4,412
35,415862,ENC | MOB | reed,1900.7,1980.1,39.7,1358
36,1784114,SOUP-E | GRIT,1899.3,1996.8,48.7,316
37,182912,Steelix,1898.3,2024.7,63.2,149
38,2520770,CHP | Smurfposter,1893.4,2088.8,97.7,150
39,61591,DA EMP | Sinji,1892.7,2056.5,81.9,104
40,220089,BlitzLuigy,1892.3,2009.1,58.4,96
41,1050386,ENC | Cee,1887.9,2072.5,92.3,296
42,1063610,Onin,1886.8,2273.4,193.3,6
43,1463554,FzP | TW | MBS | SmashBros!,1880.9,1980.2,49.7,238
44,3097780,Loq | Seel,1879.6,1987.7,54.1,263
45,616232,FzP | BeatyBean,1873.6,1970.1,48.3,620
46,606386,CJFrozen / Dany,1872.1,2133.8,130.9,19
47,1852344,LRA | Karflo,1870.6,1990.9,60.1,139
48,583155,MOB | Bobo,1863.7,1973.3,54.8,1277
49,2087765,WU/MTLC/ML | TWITCHY!,1861.0,2229.2,184.1,8
50,261992,Amaryllis,1860.4,1983.3,61.4,208
51,1331707,layla,1859.8,2004.8,72.5,80
52,2324329,GRNT | Virgo,1859.3,1985.8,63.2,77
53,4169797,lilpeep,1854.2,2206.3,176.0,10
54,1467525,FREE AGENT | ZiggySmols,1851.7,1941.3,44.8,312
55,228477,LRA_START,1851.7,1948.3,48.3,210
56,53621,Ho3K | John Numbers,1850.2,2037.0,93.4,131
57,1641578,GRNT | Skew,1849.5,1970.7,60.6,96
58,1608902,MikemasterX10,1846.9,1971.6,62.4,137
59,1244041,ToughLudwig,1844.6,1974.4,64.9,149
60,1100022,LRA PAL | Lakia,1842.5,1940.9,49.2,201
61,143562,Sin | ZeldaPlayer,1842.4,1936.2,46.9,212
62,1138799,9superpie,1839.9,1954.7,57.4,93
63,1224156,MMG+ | GRNT | Slade,1832.2,1922.6,45.2,293
64,719390,CHP | Conor McGregor,1831.7,2098.1,133.2,27
65,1802371,TheBluntOgre,1830.2,1958.9,64.4,114
66,1810739,GuyGuy,1828.4,1991.5,81.6,192
67,999566,FzP | LRA | TabSoda,1827.9,1939.1,55.6,109
68,3743679,Shon | שון,1821.7,2000.6,89.5,170
69,2105718,H-Meister,1821.6,1923.5,50.9,425
70,2516567,4Freddy! | Hikari,1820.3,1919.7,49.7,261
71,249887,ENC | Noku,1819.4,1920.5,50.6,1060
72,1692066,Jailbird | Yufine,1818.7,1919.8,50.6,166
73,1224902,WebbJP,1818.0,1957.8,69.9,93
74,496339,Meli,1817.7,1954.1,68.2,136
75,266003,Smush | Burst,1815.3,1946.8,65.7,125
76,1334378,9th | Finn,1815.2,1935.0,59.9,61
77,3321192,FzP | Zuhiy,1814.5,1921.6,53.5,182
78,44379,Lito,1810.6,1962.4,75.9,80
79,2048041,Green Guy,1809.3,1934.1,62.4,128
80,3304742,Pizza Ant,1808.8,1912.8,52.0,121
81,525344,SN | Tilde,1807.2,2238.9,215.9,7
82,1700217,RW | Floppyfail,1806.2,1897.0,45.4,449
83,2385861,SCB/Ug_nyc | FGCGambit,1802.7,1897.9,47.6,212
84,1087860,DTP,1802.3,1932.8,65.3,110
85,152534,EMPIRE | SoulArts,1801.8,1924.6,61.4,236
86,1480033,Gh0st,1793.8,1921.3,63.7,173
87,2978333,WW | Fader,1791.9,1907.1,57.6,72
88,1330121,Swigzy,1787.4,1905.1,58.9,203
89,1112678,GRNT | FroggySTYL,1782.2,1886.2,52.0,185
90,265075,the wise cow | pango,1777.3,1925.3,74.0,113
91,1703174,SJU | Taiyo,1773.5,1887.5,57.0,107
92,1650136,SBU | Amayne,1772.7,1918.5,72.9,154
93,919736,ZeroTwoNone,1772.1,2023.3,125.6,158
94,16113,Raptor,1770.0,1875.2,52.6,307
95,2858096,PUP | myles,1767.8,2150.4,191.3,21
96,3032725,q2 | Judgy,1765.0,1965.6,100.3,67
97,1593009,CHP | MomHunter9009,1763.1,1903.2,70.0,61
98,278439,FC | Haze,1762.1,1877.2,57.6,108
99,1296894,GTH | Justinjpeg,1761.5,1885.2,61.9,114
100,452907,Reilly,1758.2,1852.5,47.2,157
101,1005216,GRNT | Serta,1755.7,1925.0,84.6,186
102,1793104,MiikeFromTheBronx,1751.6,1876.0,62.2,61
103,56497,Alo!,1745.7,1950.8,102.6,31
104,981752,Tano,1744.4,1857.5,56.6,167
105,1805037,THR l GRNT | TWICE,1744.1,1838.3,47.1,168
106,1648968,10K | Mulli$,1741.7,1853.8,56.1,106
107,229860,WKZ | Mega,1741.2,1859.0,58.9,175
108,266015,FC | Stratas,1737.0,1845.5,54.3,234
109,390014,Reyluno,1733.1,1845.1,56.0,124
110,1303313,Kqt | narrwall,1730.9,1920.7,94.9,28
111,1825040,GTH | vitz,1728.7,1829.1,50.2,250
112,780256,NiP,1726.5,1852.1,62.8,660
113,2842804,Redsaw,1726.5,1869.7,71.6,521
114,1609925,MOB | Infernape,1715.7,1811.9,48.1,1558
115,1053442,Baren,1712.4,1817.5,52.6,157
116,1751649,Syn! | D.Danger,1712.2,1812.3,50.1,873
117,147436,Hindsight,1710.5,1823.0,56.2,189
118,1157788,Glutamate,1707.1,1873.6,83.3,114
119,1986069,GRNT | Jager,1706.3,1797.0,45.4,337
120,1003161,ZXZ | The Hunter,1704.0,1902.9,99.5,69
121,1750056,SuperSanic21,1703.9,1821.4,58.7,143
122,1312764,<>< | Deception,1701.7,1828.0,63.1,197
123,757280,Kitty Princess,1697.6,1797.4,49.9,140
124,889148,Wendys4for4,1695.9,2089.3,196.7,5
125,4992539,Val,1695.5,1815.9,60.2,72
126,1655542,DeLay,1693.3,1796.4,51.5,194
127,1633924,ENC | Gabo,1692.6,1818.3,62.9,519
128,1662027,Seb Undeble,1691.1,1802.7,55.8,152
129,1807531,CTG | AnthonyIsntCool,1688.1,2131.8,221.8,6
130,185802,GTH | EJJ,1686.6,1810.3,61.9,103
131,2202094,CSH | Kayjun Lady,1684.3,1773.8,44.7,360
132,774806,VB3,1683.0,1790.5,53.8,139
133,649442,TK1,1682.7,1782.1,49.7,1063
134,245443,coffeebug,1682.7,1808.7,63.0,680
135,1591717,FrBz | Keykard,1682.2,1925.3,121.6,89
136,1529247,Mellow,1682.0,1804.5,61.3,100
137,2465656,loq | gwyn,1681.8,1827.1,72.7,37
138,2384793,SBU | Steve,1681.0,1816.3,67.6,76
139,2243550,StarForce,1678.4,1786.0,53.8,173
140,1430481,ARIES,1678.2,1799.1,60.4,125
141,2980064,MMG+ | BIG CRUMB,1678.0,1775.9,48.9,200
142,2892291,ȺͶŦI_UNKNOWN PlȺYER,1676.9,1786.7,54.9,96
143,51901,Bachilles,1676.2,1786.3,55.0,123
144,155986,Chrin / GOGO,1676.2,1840.4,82.1,451
145,2564154,Louis Dio,1675.9,1804.7,64.4,117
146,2598045,Menbow/めんぼぉ,1675.7,1961.1,142.7,15
147,1721948,Wilsports | Queen,1674.6,1763.2,44.3,238
148,734353,WG | MintyFlesh,1671.6,1830.3,79.3,138
149,1902502,SBU | MeKa,1669.2,1767.2,49.0,171
150,147886,Xioli,1668.1,1827.7,79.8,106
151,1007446,E_01,1656.7,2101.6,222.4,5
152,2583231,GRNT CHP VB3 | Louie,1656.4,1746.2,44.9,211
153,240751,Team Wex | Wex,1656.1,1754.9,49.4,262
154,261142,Djohnmark,1654.0,1841.5,93.8,437
155,800407,Tom,1649.0,1742.5,46.7,524
156,1595628,FC | G-XTREME,1647.9,1838.3,95.2,226
157,4008986,LYM? | Eleventy1,1646.0,1852.3,103.1,18
158,70210,TRL,1645.6,1859.3,106.9,78
159,1309314,slaying mantis,1645.1,1766.7,60.8,84
160,1288104,SBU | vanchy,1644.7,1751.4,53.4,141
161,1770562,MOB | Loftz,1643.6,1736.0,46.2,1161
162,1284430,Exia,1638.2,1960.1,160.9,6
