rank,player_id,name,conservative_rating,rating,rd,sets_played
1,1216463,LRA | Syrup,2253.9,2400.9,73.5,142
2,158871,ShopifyRebels | Light,2198.7,2452.1,126.7,49
3,3662307,Moist | Light,2177.2,2452.7,137.8,23
4,370802,CTG | Zomba,2171.9,2322.7,75.4,181
5,1005189,SBU | Quidd,2081.5,2208.4,63.4,258
6,2201580,TDC SJSU | Lammers44,2050.6,2464.5,206.9,7
7,2220603,FORTUNE | DWTW | Fhantum,2044.8,2150.3,52.8,165
8,58121,Ling,2034.0,2182.9,74.5,205
9,2831089,Bubbs,2021.2,2135.0,56.9,925
10,2010954,OE | Char,1961.1,2175.1,107.0,28
11,4689970,Free KayFlock,1958.6,2333.2,187.3,8
12,737909,FrBz | StarZ,1957.1,2188.6,115.8,22
13,1769202,VL | Aquaze,1940.6,2057.6,58.5,154
14,2519248,Team Vars | Free KayFlock,1938.7,2024.4,42.8,1541
15,464995,Bandon / Elam,1936.8,2119.8,91.5,52
16,1972274,Raccoon | Cody,1935.3,2073.3,69.0,311
17,414731,EMPIRE | PkChris,1923.2,2061.8,69.3,196
18,2520770,CHP | Smurfposter,1921.7,2121.0,99.6,136
19,680006,FC | Wheezer,1906.2,2007.9,50.8,496
20,2996581,PUP | Myles,1892.8,2381.4,244.3,6
21,1189720,TR | MBeniS | Marvale,1890.3,2023.0,66.4,129
22,241491,MOB | Myles,1888.5,1972.3,41.9,1047
23,1071129,Pharaoh,1886.5,2038.0,75.7,60
24,15889,FC | Mr. E,1869.2,2037.3,84.1,321
25,61591,DA EMP | Sinji,1868.1,2078.1,105.0,47
26,160103,Gen,1867.7,1983.0,57.6,399
27,56497,Alo!,1860.0,2038.5,89.3,33
28,1064188,The Superberry,1857.0,1966.2,54.6,206
29,136534,NPT BBM | Beast,1856.1,1959.0,51.4,129
30,1784114,SOUP-E | GRIT,1852.2,1957.7,52.8,266
31,182912,Steelix,1851.9,1982.2,65.2,131
32,1050386,ENC | Cee,1847.4,2035.4,94.0,290
33,1063610,Onin,1842.1,2223.1,190.5,6
34,53621,Ho3K | John Numbers,1837.9,2072.7,117.4,77
35,415862,reed,1827.8,1914.9,43.5,1281
36,1290320,7DaysFREE | AmericanWeeaboo,1827.1,1938.3,55.6,87
37,1154793,Kennesaw State University,1826.5,2232.4,203.0,8
38,261992,Amaryllis,1824.8,1986.0,80.6,112
39,3743679,Jake from State Farm,1822.8,2015.0,96.1,145
40,2309083,WSU | PoppinXL,1822.6,2013.2,95.3,19
41,233318,PAG AoC | Gaius,1815.3,2034.3,109.5,33
42,1212255,Interrobang,1808.0,1915.6,53.8,100
43,606386,CJFrozen / Dany,1805.5,2077.9,136.2,15
44,1852344,LRA | Karflo(B),1803.5,1924.4,60.5,133
45,1331707,layla,1799.9,1950.7,75.4,65
46,3321192,FC FzP | Zuhiy,1798.2,1912.7,57.3,122
47,3032725,q2 | Judgy,1793.8,2099.2,152.7,17
48,4169797,lilpeep,1792.5,2139.8,173.7,10
49,719390,CHP | Ling Gon Goo Lee,1791.1,2104.8,156.9,20
50,1100022,LRA PAL | Lakia,1791.0,1908.9,59.0,113
51,1224902,Night Shift | WebbJP,1790.9,1924.1,66.6,99
52,1467525,FREE AGENT | ZiggySmols(B),1787.3,1882.5,47.6,237
53,616232,FzP | BeatyBean,1779.6,1885.1,52.7,526
54,1463554,FzP | TW | MBS | SmashBros!,1779.1,1880.7,50.8,179
55,220089,BlitzLuigy,1777.2,1900.1,61.4,77
56,2087765,WU/MTLC/ML | TWITCHY!,1774.4,2122.2,173.9,8
57,583155,MOB | Bobo,1772.6,1887.2,57.3,1246
58,1810739,GuyGuy,1766.0,1938.7,86.4,173
59,1641578,GRNT | Skew,1764.1,1894.8,65.3,78
60,999566,FzP | LRA | TabSoda,1761.1,1903.8,71.3,60
61,152534,EMPIRE | SoulArts,1759.4,1884.4,62.5,218
62,249887,ENC | Noku,1751.1,1854.1,51.5,1028
63,1692066,Jailbird | Yufine,1750.6,1851.0,50.2,131
64,1087860,DTP,1748.5,1870.3,60.9,104
65,1244041,ToughLudwig,1747.7,1890.7,71.5,116
66,228477,LRA_START,1747.2,1847.3,50.1,187
67,1334378,9th | Finn,1746.5,1871.9,62.7,56
68,1224156,MMG+ | GRNT | Slade,1745.4,1838.6,46.6,234
69,525344,Tilde,1740.7,2173.0,216.2,6
70,1703174,SJU | Taiyo,1739.9,1849.3,54.7,98
71,1608902,MikemasterX10,1739.3,1866.6,63.6,101
72,1802371,TheBluntOgre,1737.8,1872.5,67.3,87
73,2048041,Green Guy,1735.4,1857.6,61.1,121
74,1330121,Swigzy,1733.3,1850.8,58.7,202
75,1805037,THR l GRNT | TWICE(B),1731.7,1825.1,46.7,126
76,3097780,Loq | Seel,1731.2,1863.2,66.0,192
77,919736,ZeroTwoNone,1730.7,1984.9,127.1,148
78,143562,Sin | ZeldaPlayer,1728.4,1836.3,53.9,93
79,3304742,Pizza Ant,1728.0,1859.4,65.7,54
80,1480033,Gh0st,1726.0,1857.9,65.9,173
81,496339,Meli,1724.4,1914.3,94.9,50
82,1700217,RW | Floppyfail,1723.5,1820.6,48.6,300
