rank,player_id,name,conservative_rating,rating,rd,sets_played
1,1216463,LRA | Syrup,2278.1,2421.8,71.8,156
2,370802,CTG | Zomba,2202.1,2332.2,65.1,250
3,3662307,Moist | Light,2173.3,2423.2,124.9,41
4,2201580,TDC SJSU | Lammers44,2147.9,2547.5,199.8,8
5,1005189,SBU | Quidd,2116.1,2241.8,62.8,266
6,2831089,Bubbs,2114.0,2219.4,52.7,998
7,58121,Ling,2105.0,2232.9,63.9,262
8,2220603,FORTUNE | DWTW | Fhantum,2054.3,2151.7,48.7,212
9,2010954,Char,2048.7,2242.7,97.0,38
10,737909,Fortune | StarZ,2046.1,2195.4,74.6,64
11,1972274,Raccoon | Cody,2044.4,2158.8,57.2,402
12,158871,ShopifyRebels | Light,2041.5,2264.7,111.6,66
13,4689970,Free KayFlock,2037.5,2423.9,193.2,8
14,414731,EMPIRE | PkChris,2008.0,2121.5,56.7,276
15,56497,Alo!,2003.3,2127.1,61.9,90
16,2519248,Team Vars | Free KayFlock,1990.6,2070.2,39.8,1637
17,1769202,VL | Aquaze,1984.2,2097.5,56.6,157
18,46517,Tony Pajamas,1981.6,2154.2,86.3,148
19,2996581,PUP | Myles,1950.6,2450.3,249.9,6
20,136534,NPT BBM | Beast,1949.8,2034.3,42.2,277
21,464995,Bandon / Elam,1944.8,2116.4,85.8,66
22,2309083,WSU | PoppinXL,1941.1,2115.6,87.2,29
23,241491,MOB | Myles,1932.9,2016.0,41.6,1064
24,1071129,Pharaoh,1931.5,2070.1,69.3,82
25,680006,FC | Wheezer,1930.8,2022.4,45.8,601
26,1189720,TR | MBeniS | Marvale,1927.6,2057.7,65.0,132
27,1064188,The Superberry,1922.2,2020.2,49.0,282
28,156255,Phantom,1920.4,2340.5,210.0,51
29,1412639,131 | xavier,1920.0,2041.6,60.8,82
30,2520770,CHP | Smurfposter,1916.8,2102.9,93.1,172
31,1154793,DGS | spickles,1913.9,2308.2,197.1,9
32,160103,Gen,1911.0,2024.4,56.7,417
33,233318,PAG AoC | Gaius,1910.3,2029.2,59.4,122
34,1212255,Interrobang,1904.7,2007.7,51.5,132
35,1784114,SOUP-E | GRIT,1902.0,2003.2,50.6,308
36,15889,FC | Mr. E,1897.3,2061.9,82.3,346
37,1290320,7DaysFREE | AmericanWeeaboo,1887.9,1990.5,51.3,142
38,252377,Slasher,1885.1,1969.9,42.4,172
39,182912,Steelix,1885.1,2013.8,64.4,146
40,415862,reed,1883.6,1963.0,39.7,1370
41,1063610,Onin,1882.8,2269.6,193.4,6
42,3321192,FC FzP | Zuhiy,1880.7,1976.4,47.8,196
43,61591,DA EMP | Sinji,1879.7,2045.6,82.9,104
44,1050386,ENC | Cee,1879.7,2066.8,93.6,295
45,220089,BlitzLuigy,1874.8,1991.7,58.5,96
46,1138799,9superpie,1869.6,1975.5,52.9,101
47,606386,CJFrozen / Dany,1859.0,2122.3,131.6,17
48,2324329,GRNT | Virgo,1855.6,1975.4,59.9,83
49,261992,Amaryllis,1855.3,1980.5,62.6,201
50,3097780,Loq | Seel,1854.6,1965.1,55.2,260
51,1852344,LRA | Karflo(B),1850.2,1968.1,59.0,141
52,4169797,lilpeep,1845.0,2196.9,175.9,10
53,1467525,FREE AGENT | ZiggySmols(B),1843.8,1934.3,45.3,307
