rank,player_id,name,conservative_rating,rating,rd,sets_played
1,370802,CTG | Zomba,2202.1,2332.2,65.1,250
2,1005189,SBU | Quidd,2116.1,2241.8,62.8,266
3,2831089,Bubbs,2114.0,2219.4,52.7,998
4,2220603,FORTUNE | DWTW | Fhantum,2054.3,2151.7,48.7,212
5,2010954,Char,2048.7,2242.7,97.0,38
6,1972274,Raccoon | Cody,2044.4,2158.8,57.2,402
7,2519248,Team Vars | Free KayFlock,1990.6,2070.2,39.8,1637
8,1769202,VL | Aquaze,1984.2,2097.5,56.6,157
9,241491,MOB | Myles,1932.9,2016.0,41.6,1064
10,680006,FC | Wheezer,1930.8,2022.4,45.8,601
11,1064188,The Superberry,1922.2,2020.2,49.0,282
12,160103,Gen,1911.0,2024.4,56.7,417
13,1784114,SOUP-E | GRIT,1902.0,2003.2,50.6,308
14,15889,FC | Mr. E,1897.3,2061.9,82.3,346
15,182912,Steelix,1885.1,2013.8,64.4,146
16,415862,reed,1883.6,1963.0,39.7,1370
17,3321192,FC FzP | Zuhiy,1880.7,1976.4,47.8,196
18,261992,Amaryllis,1855.3,1980.5,62.6,201
19,3097780,Loq | Seel,1854.6,1965.1,55.2,260
20,1852344,LRA | Karflo(B),1850.2,1968.1,59.0,141
21,1467525,FREE AGENT | ZiggySmols(B),1843.8,1934.3,45.3,307
22,1331707,layla,1840.4,1987.1,73.3,80
23,1463554,FzP | TW | MBS | SmashBros!,1839.7,1935.6,48.0,232
24,583155,MOB | Bobo,1838.6,1948.7,55.0,1277
25,616232,FzP | BeatyBean,1832.2,1924.5,46.2,630
26,152534,EMPIRE | SoulArts,1819.9,1941.9,61.0,235
27,1692066,Jailbird | Yufine,1812.5,1910.1,48.8,169
28,2516567,4Freddy! | Hikari,1802.9,1897.5,47.3,255
29,1805037,THR l GRNT | TWICE(B),1799.4,1888.0,44.3,171
30,228477,LRA_START,1797.2,1895.7,49.3,202
31,1224156,MMG+ | GRNT | Slade,1796.6,1888.2,45.8,277
32,249887,ENC | Noku,1796.5,1898.7,51.1,1063
